tconst,primaryTitle,startYear,genres,averageRating,numVotes
tt6966692,green book,2018,"Biography,Comedy,Drama",8.2,676558
tt2119532,hacksaw ridge,2016,"Biography,Drama,History",8.1,673457
tt11286314,dont look up,2021,"Comedy,Drama,Sci-Fi",7.1,665466
tt1517268,barbie,2023,"Adventure,Comedy,Fantasy",6.8,661592
tt4154664,captain marvel,2019,"Action,Adventure,Sci-Fi",6.7,654272
tt6644200,a quiet place,2018,"Drama,Horror,Sci-Fi",7.5,652871
tt1727824,bohemian rhapsody,2018,"Biography,Drama,Music",7.9,640681
tt6320628,spiderman far from home,2019,"Action,Adventure,Comedy",7.3,631177
tt2948356,zootopia,2016,"Action,Adventure,Animation",8.0,624907
tt6710474,everything everywhere all at once,2022,"Action,Adventure,Comedy",7.7,622865
tt4972582,split,2016,"Horror,Thriller",7.3,616845
tt1630029,avatar the way of water,2022,"Action,Adventure,Animation",7.5,604129
tt5027774,three billboards outside ebbing missouri,2017,"Comedy,Crime,Drama",8.1,602657
tt1270797,venom,2018,"Action,Adventure,Sci-Fi",6.6,602230
tt10811166,the kashmir files,2022,Drama,8.5,578711
tt4425200,john wick chapter 2,2017,"Action,Crime,Thriller",7.4,565908
tt1950186,ford v ferrari,2019,"Action,Biography,Drama",8.1,563763
tt6263850,deadpool  wolverine,2024,"Action,Adventure,Comedy",7.5,558262
tt1477834,aquaman,2018,"Action,Adventure,Fantasy",6.8,550668
tt9419884,doctor strange in the multiverse of madness,2022,"Action,Adventure,Fantasy",6.9,539925
tt3183660,fantastic beasts and where to find them,2016,"Adventure,Family,Fantasy",7.2,538148
tt1677720,ready player one,2018,"Action,Adventure,Sci-Fi",7.4,537856
tt2527338,star wars episode ix  the rise of skywalker,2019,"Action,Adventure,Fantasy",6.3,537822
tt12593682,bullet train,2022,"Action,Comedy,Thriller",7.3,527773
tt11564570,glass onion,2022,"Comedy,Crime,Drama",7.1,518115
tt9362722,spiderman across the spiderverse,2023,"Action,Adventure,Animation",8.5,511978
tt0974015,justice league,2017,"Action,Adventure,Fantasy",6.0,502874
tt2283362,jumanji welcome to the jungle,2017,"Action,Adventure,Comedy",6.9,498179
tt1355644,passengers,2016,"Drama,Romance,Sci-Fi",7.0,491993
tt5095030,antman and the wasp,2018,"Action,Adventure,Comedy",7.0,491158
tt9764362,the menu,2022,"Comedy,Horror,Thriller",7.2,491142
tt3385516,xmen apocalypse,2016,"Action,Adventure,Sci-Fi",6.8,490083
tt9376612,shangchi and the legend of the ten rings,2021,"Action,Adventure,Fantasy",7.3,484297
tt2584384,jojo rabbit,2019,"Comedy,Drama,War",7.9,484195
tt2382320,no time to die,2021,"Action,Adventure,Thriller",7.3,483879
tt6264654,free guy,2021,"Action,Adventure,Comedy",7.1,483606
tt8772262,midsommar,2019,"Drama,Horror,Mystery",7.1,478540
tt6146586,john wick chapter 3  parabellum,2019,"Action,Crime,Drama",7.4,476415
tt5580390,the shape of water,2017,"Drama,Fantasy,Romance",7.3,473302
tt3480822,black widow,2021,"Action,Adventure,Sci-Fi",6.6,473293
tt12361974,zack snyders justice league,2021,"Action,Adventure,Fantasy",7.9,470514
tt1302006,the irishman,2019,"Biography,Crime,Drama",7.8,469219
tt6791350,guardians of the galaxy vol 3,2023,"Action,Adventure,Comedy",7.9,464752
tt10648342,thor love and thunder,2022,"Action,Adventure,Comedy",6.1,456109
tt6334354,the suicide squad,2021,"Action,Adventure,Comedy",7.2,454931
tt8367814,the gentlemen,2019,"Action,Comedy,Crime",7.8,453105
tt7784604,hereditary,2018,"Drama,Horror,Mystery",7.3,450002
tt1517451,a star is born,2018,"Drama,Music,Romance",7.6,446742
tt2948372,soul,2020,"Adventure,Animation,Comedy",8.0,443658
tt3521164,moana,2016,"Adventure,Animation,Comedy",7.6,436730
tt9032400,eternals,2021,"Action,Adventure,Fantasy",6.2,423899
tt2737304,bird box,2018,"Horror,Mystery,Sci-Fi",6.6,419120
tt4912910,mission impossible  fallout,2018,"Action,Adventure,Thriller",7.7,417399
tt31193180,sinners,2025,"Action,Drama,Horror",7.5,416327
tt0448115,shazam,2019,"Action,Adventure,Comedy",7.0,411347
tt3799694,the nice guys,2016,"Action,Comedy,Crime",7.4,410135
tt17526714,the substance,2024,"Drama,Horror,Sci-Fi",7.2,408102
tt3778644,solo a star wars story,2018,"Action,Adventure,Sci-Fi",6.9,406666
tt10366206,john wick chapter 4,2023,"Action,Crime,Thriller",7.6,406554
tt4649466,kingsman the golden circle,2017,"Action,Adventure,Comedy",6.7,399104
tt6208148,snow white,2025,"Adventure,Family,Fantasy",2.2,394251
tt5950044,superman,2025,"Action,Adventure,Sci-Fi",7.0,393331
tt2140479,the accountant,2016,"Action,Crime,Drama",7.3,392862
tt2798920,annihilation,2018,"Adventure,Drama,Horror",6.8,391298
tt6857112,us,2019,"Horror,Mystery,Thriller",6.8,388259
tt7888964,nobody,2021,"Action,Crime,Drama",7.4,387459
tt14230458,poor things,2023,"Comedy,Drama,Romance",7.8,387355
tt5311514,your name,2016,"Animation,Drama,Fantasy",8.4,386444
tt1179933,10 cloverfield lane,2016,"Drama,Horror,Sci-Fi",7.2,382045
tt1790809,pirates of the caribbean dead men tell no tales,2017,"Action,Adventure,Fantasy",6.5,381999
tt4881806,jurassic world fallen kingdom,2018,"Action,Adventure,Sci-Fi",6.1,378250
tt3731562,kong skull island,2017,"Action,Adventure,Fantasy",6.7,372291
tt7653254,marriage story,2019,"Drama,Romance",7.9,369984
tt3606756,incredibles 2,2018,"Action,Adventure,Animation",7.5,366944
tt9114286,black panther wakanda forever,2022,"Action,Adventure,Drama",6.6,366049
tt4925292,lady bird,2017,"Comedy,Drama",7.4,361049
tt3110958,now you see me 2,2016,"Action,Adventure,Comedy",6.4,358117
tt2771200,beauty and the beast,2017,"Adventure,Family,Fantasy",7.1,356910
tt5726616,call me by your name,2017,"Drama,Romance",7.8,355821
tt4034228,manchester by the sea,2016,Drama,7.8,353027
tt5727208,uncut gems,2019,"Crime,Drama,Thriller",7.4,352329
tt7991608,red notice,2021,"Action,Comedy,Thriller",6.3,352012
tt7349950,it chapter two,2019,"Drama,Fantasy,Horror",6.5,351347
tt4975722,moonlight,2016,Drama,7.4,350247
tt1485796,the greatest showman,2017,"Biography,Drama,Musical",7.5,344278
tt2316204,alien covenant,2017,"Horror,Sci-Fi,Thriller",6.4,342903
tt30144839,one battle after another,2025,"Action,Crime,Drama",7.7,340605
tt3065204,the conjuring 2,2016,"Horror,Mystery,Thriller",7.3,340030
tt9243946,el camino,2019,"Crime,Drama,Thriller",7.3,338916
tt4550098,nocturnal animals,2016,"Drama,Thriller",7.4,337075
tt2277860,finding dory,2016,"Adventure,Animation,Comedy",7.2,331406
tt2674426,me before you,2016,"Drama,Romance",7.4,330705
tt4123430,fantastic beasts the crimes of grindelwald,2018,"Adventure,Family,Fantasy",6.5,329961
tt4160708,dont breathe,2016,"Crime,Horror,Thriller",7.1,328497
tt16311594,f1 the movie,2025,"Action,Drama,Sport",7.6,325551
tt3450958,war for the planet of the apes,2017,"Action,Adventure,Drama",7.4,324968
tt9603212,mission impossible  dead reckoning part one,2023,"Action,Adventure,Thriller",7.6,324016
tt0437086,alita battle angel,2019,"Action,Adventure,Sci-Fi",7.3,322006
tt8228288,the platform,2019,"Horror,Mystery,Sci-Fi",7.0,321357
tt3263904,sully,2016,"Biography,Drama,History",7.4,320453
tt3402236,murder on the orient express,2017,"Comedy,Crime,Drama",6.5,319655
tt8332922,a quiet place part ii,2020,"Drama,Horror,Sci-Fi",7.2,319284
tt26581740,weapons,2025,"Horror,Mystery",7.4,318649
tt7975244,jumanji the next level,2019,"Action,Adventure,Comedy",6.6,316462
tt12037194,furiosa a mad max saga,2024,"Action,Adventure,Sci-Fi",7.5,316333
tt10954984,nope,2022,"Horror,Mystery,Sci-Fi",6.8,312952
tt6139732,aladdin,2019,"Adventure,Comedy,Family",6.9,312842
tt7349662,blackkklansman,2018,"Biography,Comedy,Crime",7.5,312178
tt5362988,wind river,2017,"Crime,Drama,Mystery",7.7,312164
tt1016150,all quiet on the western front,2022,"Drama,History,War",7.8,311623
tt1979376,toy story 4,2019,"Adventure,Animation,Comedy",7.6,311246
tt7126948,wonder woman 1984,2020,"Action,Adventure,Fantasy",5.3,309617
tt3040964,the jungle book,2016,"Action,Adventure,Animation",7.3,304567
tt5537002,killers of the flower moon,2023,"Crime,Drama,History",7.5,303512
tt5700672,train to busan,2016,"Action,Horror,Thriller",7.6,302624
tt6823368,glass,2019,"Drama,Fantasy,Horror",6.6,302201
tt6443346,black adam,2022,"Action,Adventure,Fantasy",6.1,301884
tt10838180,the matrix resurrections,2021,"Action,Sci-Fi",5.6,301357
tt7097896,venom let there be carnage,2021,"Action,Adventure,Crime",5.9,301209
tt7984734,the lighthouse,2019,"Drama,Fantasy,Horror",7.4,299154
tt11138512,the northman,2022,"Action,Adventure,Drama",7.0,296768
tt1464335,uncharted,2022,"Action,Adventure",6.3,296630
tt2005151,war dogs,2016,"Biography,Comedy,Crime",7.1,294646
tt2953050,encanto,2021,"Animation,Comedy,Family",7.2,294379
tt0803096,warcraft,2016,"Action,Adventure,Fantasy",6.7,293834
tt3228774,cruella,2021,"Adventure,Comedy,Crime",7.3,293774
tt11813216,the banshees of inisherin,2022,"Comedy,Drama",7.6,292866
tt9218128,gladiator ii,2024,"Action,Adventure,Drama",6.5,290581
tt6105098,the lion king,2019,"Adventure,Animation,Drama",6.8,290331
tt8936646,extraction,2020,"Action,Crime,Thriller",6.8,287578
tt4846340,hidden figures,2016,"Biography,Drama,History",7.8,286207
tt6718170,the super mario bros movie,2023,"Adventure,Animation,Comedy",7.0,284466
tt18412256,alien romulus,2024,"Horror,Sci-Fi,Thriller",7.1,282468
tt1312221,frankenstein,2025,"Drama,Fantasy,Horror",7.4,281666
tt1051906,the invisible man,2020,"Drama,Horror,Mystery",7.1,281614
tt3281548,little women,2019,"Drama,Romance",7.8,281481
tt7713068,birds of prey and the fantabulous emancipation of one harley quinn,2020,"Action,Comedy,Crime",6.1,281176
tt13833688,the whale,2022,Drama,7.6,279047
tt2935510,ad astra,2019,"Adventure,Drama,Mystery",6.5,278734
tt2704998,game night,2018,"Action,Adventure,Comedy",6.9,275792
tt5442430,life,2017,"Horror,Sci-Fi,Thriller",6.6,275585
tt2582782,hell or high water,2016,"Crime,Drama,Thriller",7.6,275044
tt4630562,the fate of the furious,2017,"Action,Crime,Thriller",6.6,272678
tt2906216,dungeons  dragons honor among thieves,2023,"Action,Adventure,Comedy",7.2,271615
tt1649418,the gray man,2022,"Action,Mystery,Thriller",6.5,269952
tt11866324,prey,2022,"Action,Adventure,Horror",7.1,269939
tt2660888,star trek beyond,2016,"Action,Adventure,Sci-Fi",7.0,269130
tt20969586,thunderbolts,2025,"Action,Adventure,Crime",7.1,267424
tt5109784,mother,2017,"Drama,Horror,Mystery",6.6,266862
tt10954600,antman and the wasp quantumania,2023,"Action,Adventure,Comedy",6.0,266650
tt28607951,anora,2024,"Comedy,Drama,Romance",7.4,265481
tt3741834,lion,2016,"Biography,Drama",8.0,265300
tt5034838,godzilla vs kong,2021,"Action,Sci-Fi,Thriller",6.3,265274
tt17279496,civil war,2024,"Action,Thriller,War",7.0,264463
tt17351924,saltburn,2023,"Drama,Thriller",7.0,262028
tt1959563,the hitmans bodyguard,2017,"Action,Comedy,Crime",6.9,261494
tt5040012,nosferatu,2024,"Fantasy,Horror,Mystery",7.1,261139
tt5580036,i tonya,2017,"Biography,Comedy,Drama",7.5,260122
tt5164214,oceans eight,2018,"Comedy,Crime,Thriller",6.3,259931
tt7144666,the black phone,2021,"Horror,Mystery,Thriller",6.9,259598
tt3704428,elvis,2022,"Biography,Drama,Music",7.3,259559
tt1289401,ghostbusters,2016,"Action,Comedy,Fantasy",6.8,257824
tt5083738,the favourite,2018,"Biography,Comedy,Drama",7.5,257051
tt4196776,jason bourne,2016,"Action,Thriller",6.6,256252
tt2463208,the adam project,2022,"Action,Adventure,Comedy",6.7,255879
tt15791034,barbarian,2022,"Horror,Mystery,Thriller",7.0,255815
tt6806448,fast  furious presents hobbs  shaw,2019,"Action,Adventure,Thriller",6.4,255465
tt20215234,conclave,2024,"Drama,Thriller",7.4,253696
tt1684562,the fall guy,2024,"Action,Comedy,Drama",6.8,253288
tt9620292,promising young woman,2020,"Crime,Drama,Mystery",7.5,252772
tt9777666,the tomorrow war,2021,"Action,Adventure,Drama",6.6,251691
tt10676052,the fantastic four first steps,2025,"Action,Adventure,Sci-Fi",6.8,250081
tt3553976,captain fantastic,2016,"Adventure,Comedy,Drama",7.8,249466
tt1972591,king arthur legend of the sword,2017,"Action,Adventure,Drama",6.7,246168
tt0439572,the flash,2023,"Action,Adventure,Fantasy",6.6,245640
tt22022452,inside out 2,2024,"Adventure,Animation,Comedy",7.5,245621
tt14849194,the holdovers,2023,"Comedy,Drama",7.9,244727
tt2404435,the magnificent seven,2016,"Action,Adventure,Drama",6.9,244571
tt7846844,enola holmes,2020,"Adventure,Crime,Drama",6.6,243940
tt8041270,jurassic world dominion,2022,"Action,Adventure,Sci-Fi",5.6,243264
tt5606664,doctor sleep,2019,"Drama,Fantasy,Horror",7.3,243251
tt10272386,the father,2020,"Drama,Mystery",8.2,241883
tt4555426,darkest hour,2017,"Biography,Drama,History",7.4,241862
tt1365519,tomb raider,2018,"Action,Adventure,Fantasy",6.3,240469
tt5074352,dangal,2016,"Action,Biography,Drama",8.3,240378
tt12747748,leave the world behind,2023,"Drama,Mystery,Thriller",6.4,240068
tt4513678,ghostbusters afterlife,2021,"Adventure,Comedy,Fantasy",7.0,239678
tt1219827,ghost in the shell,2017,"Action,Crime,Drama",6.3,238708
tt1489889,central intelligence,2016,"Action,Comedy,Crime",6.3,236643
tt11083552,wrath of man,2021,"Action,Crime,Thriller",7.1,236315
tt15474916,smile,2022,"Horror,Mystery,Thriller",6.5,236097
tt12299608,mickey 17,2025,"Adventure,Comedy,Fantasy",6.7,236066
tt2709768,the secret life of pets,2016,"Adventure,Animation,Comedy",6.5,234182
tt4729430,klaus,2019,"Adventure,Animation,Comedy",8.2,234094
tt15097216,jai bhim,2021,"Crime,Drama",8.6,233279
tt6499752,upgrade,2018,"Action,Sci-Fi,Thriller",7.5,231862
tt7798634,ready or not,2019,"Action,Comedy,Horror",6.8,231382
tt3532216,american made,2017,"Action,Comedy,Crime",7.1,231328
tt1462764,indiana jones and the dial of destiny,2023,"Action,Adventure,Sci-Fi",6.5,230912
tt3741700,godzilla king of the monsters,2019,"Action,Adventure,Fantasy",6.0,227387
tt3766354,the equalizer 2,2018,"Action,Crime,Mystery",6.7,227049
tt4779682,the meg,2018,"Action,Adventure,Horror",5.7,226427
tt6565702,xmen dark phoenix,2019,"Action,Adventure,Sci-Fi",5.7,226398
tt0870154,jungle cruise,2021,"Action,Adventure,Comedy",6.5,226106
tt1262426,wicked,2024,"Fantasy,Musical,Romance",7.3,225700
tt1700841,sausage party,2016,"Adventure,Animation,Comedy",6.1,225676
tt10288566,another round,2020,"Comedy,Drama",7.7,224108
tt1560220,zombieland double tap,2019,"Action,Comedy,Horror",6.6,223828
tt13560574,x,2022,"Horror,Mystery,Thriller",6.5,222000
tt3915174,puss in boots the last wish,2022,"Action,Adventure,Animation",7.8,221660
tt10293406,the power of the dog,2021,"Drama,Western",6.8,221493
tt1136617,the killer,2023,"Action,Adventure,Crime",6.7,221379
tt2345759,the mummy,2017,"Action,Adventure,Fantasy",5.4,220849
tt12801262,luca,2021,"Adventure,Animation,Comedy",7.4,220803
tt23468450,longlegs,2024,"Crime,Horror,Mystery",6.5,219995
tt9603208,mission impossible  the final reckoning,2025,"Action,Adventure,Thriller",7.2,219753
tt28015403,heretic,2024,"Horror,Thriller",7.0,219423
tt2406566,atomic blonde,2017,"Action,Thriller",6.7,219051
tt2094766,assassins creed,2016,"Action,Adventure,Sci-Fi",5.6,218404
tt1469304,baywatch,2017,"Action,Comedy,Crime",5.5,217537
tt4520988,frozen ii,2019,"Adventure,Animation,Comedy",6.8,217088
tt2873282,red sparrow,2018,"Action,Drama,Thriller",6.6,216762
tt9770150,nomadland,2020,Drama,7.3,216652
tt29623480,the wild robot,2024,"Adventure,Animation,Family",8.2,216286
tt14364480,wake up dead man,2025,"Comedy,Crime,Drama",7.3,215566
tt2267968,kung fu panda 3,2016,"Action,Adventure,Animation",7.1,215506
tt1213641,first man,2018,"Biography,Drama,History",7.3,214848
tt7322224,triangle of sadness,2022,"Comedy,Drama",7.2,214060
tt5715874,the killing of a sacred deer,2017,"Drama,Horror,Mystery",7.0,213184
tt15671028,no hard feelings,2023,"Comedy,Romance",6.3,213097
tt9484998,palm springs,2020,"Comedy,Fantasy,Mystery",7.4,211853
tt10638522,talk to me,2022,"Horror,Thriller",7.1,211244
tt4857264,the invisible guest,2016,"Crime,Drama,Mystery",8.0,211225
tt6450804,terminator dark fate,2019,"Action,Adventure,Sci-Fi",6.2,211008
tt3470600,sing,2016,"Animation,Comedy,Family",7.1,210851
tt8106534,6 underground,2019,"Action,Thriller",6.1,210178
tt3631112,the girl on the train,2016,"Crime,Drama,Mystery",6.5,210170
tt5104604,isle of dogs,2018,"Adventure,Animation,Comedy",7.8,209573
tt5519340,bright,2017,"Action,Fantasy,Thriller",6.3,209126
tt7556122,the old guard,2020,"Action,Thriller",6.7,209019
tt7657566,death on the nile,2022,"Crime,Drama,Mystery",6.3,208756
tt2239822,valerian and the city of a thousand planets,2017,"Action,Adventure,Animation",6.4,208610
tt2066051,rocketman,2019,"Biography,Drama,Music",7.3,208037
tt7405458,a man called otto,2022,"Comedy,Drama",7.5,207903
tt3104988,crazy rich asians,2018,"Comedy,Drama,Romance",6.9,207528
tt1935859,miss peregrines home for peculiar children,2016,"Adventure,Drama,Family",6.7,207279
tt4873118,the covenant,2023,"Action,Drama,Thriller",7.5,206740
tt4701182,bumblebee,2018,"Action,Adventure,Sci-Fi",6.7,206693
tt17009710,anatomy of a fall,2023,"Crime,Drama,Mystery",7.6,206625
tt10366460,coda,2021,"Comedy,Drama,Music",8.0,204789
tt4244994,the last duel,2021,"Drama,History,Thriller",7.3,204705
tt1070874,the trial of the chicago 7,2020,"Drama,History,Thriller",7.7,204438
tt10640346,babylon,2022,"Comedy,Drama",7.1,204381
tt5848272,ralph breaks the internet,2018,"Adventure,Animation,Comedy",7.0,203585
tt0293429,mortal kombat,2021,"Action,Adventure,Fantasy",6.1,203515
tt4276820,the founder,2016,"Biography,Drama",7.2,203100
tt4209788,mollys game,2017,"Biography,Crime,Drama",7.4,202488
tt8178634,rrr,2022,"Action,Adventure,Drama",7.8,201904
tt3062096,inferno,2016,"Action,Adventure,Crime",6.2,201514
tt23289160,godzilla minus one,2023,"Action,Adventure,Drama",7.7,200992
tt4016934,the handmaiden,2016,"Drama,Romance,Thriller",8.1,200703
tt10548174,28 years later,2025,"Horror,Sci-Fi,Thriller",6.6,200522
tt2231461,rampage,2018,"Action,Adventure,Sci-Fi",6.1,200195
tt0993840,army of the dead,2021,"Action,Adventure,Crime",5.8,199983
tt1628841,independence day resurgence,2016,"Action,Adventure,Sci-Fi",5.2,198752
tt9639470,last night in soho,2021,"Drama,Horror,Mystery",7.0,198494
tt1860357,deepwater horizon,2016,"Action,Drama,History",7.1,197841
tt0918940,the legend of tarzan,2016,"Action,Adventure,Drama",6.2,197216
tt1502397,bad boys for life,2020,"Action,Comedy,Crime",6.5,195919
tt5884052,pokémon detective pikachu,2019,"Adventure,Comedy,Family",6.5,195445
tt2543472,wonder,2017,"Drama,Family",7.9,195380
tt11858890,the creator,2023,"Action,Adventure,Drama",6.7,194653
tt6856242,the kings man,2021,"Action,Adventure,Thriller",6.3,194593
tt5814060,the nun,2018,"Horror,Mystery,Thriller",5.4,193915
tt16419074,air,2023,"Drama,Sport",7.4,193421
tt12584954,twisters,2024,"Action,Adventure,Thriller",6.5,192349
tt3393786,jack reacher never go back,2016,"Action,Thriller",6.2,191967
tt7668870,searching,2018,"Drama,Mystery,Thriller",7.6,191385
tt4123432,fantastic beasts the secrets of dumbledore,2022,"Adventure,Fantasy",6.2,191266
tt6166392,wonka,2023,"Adventure,Comedy,Family",6.9,191245
tt4116284,the lego batman movie,2017,"Action,Adventure,Animation",7.3,190909
tt21382296,carryon,2024,"Action,Crime,Thriller",6.5,190883
tt3794354,sonic the hedgehog,2020,"Action,Adventure,Comedy",6.5,190527
tt5052474,sicario day of the soldado,2018,"Action,Crime,Drama",7.1,189482
tt7040874,a simple favor,2018,"Comedy,Crime,Mystery",6.7,189287
tt4500922,maze runner the death cure,2018,"Action,Adventure,Sci-Fi",6.3,189122
tt1618434,murder mystery,2019,"Crime,Mystery,Romance",6.1,188455
tt5109280,raya and the last dragon,2021,"Action,Adventure,Animation",7.3,186653
tt1502407,halloween,2018,"Crime,Drama,Horror",6.5,185839
tt31036941,jurassic world rebirth,2025,"Action,Adventure,Sci-Fi",5.8,185460
tt7146812,onward,2020,"Adventure,Animation,Comedy",7.4,184949
tt11245972,scream,2022,"Horror,Mystery,Thriller",6.3,184806
tt3371366,transformers the last knight,2017,"Action,Adventure,Comedy",5.2,184636
tt13287846,napoleon,2023,"Action,Adventure,Biography",6.3,184596
tt5308322,happy death day,2017,"Comedy,Horror,Mystery",6.6,184265
tt8079248,yesterday,2019,"Comedy,Fantasy,Music",6.8,183877
tt5363618,sound of metal,2019,"Drama,Music",7.7,183750
tt6412452,the ballad of buster scruggs,2018,"Comedy,Drama,Musical",7.2,183064
tt3359350,road house,2024,"Action,Drama,Thriller",6.2,182406
tt10954652,old,2021,"Drama,Mystery,Thriller",5.8,182333
tt10888594,radhe,2021,"Action,Thriller",1.8,181610
tt7740496,nightmare alley,2021,"Crime,Drama,Thriller",7.0,181536
tt10028196,laal singh chaddha,2022,"Comedy,Drama,Romance",5.6,181295
tt4776998,the promise,2016,"Action,Adventure,Drama",6.1,180269
tt8760708,m3gan,2022,"Horror,Sci-Fi,Thriller",6.3,180221
tt11315808,joker folie à deux,2024,"Drama,Musical,Thriller",5.2,179876
tt3300542,london has fallen,2016,"Action,Thriller",5.9,179782
tt10545296,the hunger games the ballad of songbirds  snakes,2023,"Action,Adventure,Drama",6.6,179658
tt3640424,allied,2016,"Action,Drama,Romance",7.1,179108
tt3469046,despicable me 3,2017,"Adventure,Animation,Comedy",6.3,178748
tt5433138,f9 the fast saga,2021,"Action,Crime,Thriller",5.2,178625
tt14513804,captain america brave new world,2025,"Action,Adventure,Sci-Fi",5.6,178539
tt4172430,13 hours the secret soldiers of benghazi,2016,"Action,Drama,History",7.3,178429
tt6155172,roma,2018,Drama,7.6,177823
tt6628394,bad times at the el royale,2018,"Crime,Drama,Mystery",7.1,177685
tt11291274,the unbearable weight of massive talent,2022,"Action,Comedy,Crime",7.0,177677
tt5971474,the little mermaid,2023,"Adventure,Family,Fantasy",7.2,177605
tt15314262,the beekeeper,2024,"Action,Crime,Thriller",6.3,177275
tt2386490,how to train your dragon the hidden world,2019,"Action,Adventure,Animation",7.4,177066
tt7984766,the king,2019,"Biography,Drama,History",7.3,176009
tt5439796,logan lucky,2017,"Action,Comedy,Crime",7.0,175886
tt13320622,the lost city,2022,"Action,Adventure,Comedy",6.1,175455
tt16426418,challengers,2024,"Comedy,Drama,Romance",7.0,175454
tt10731256,dont worry darling,2022,"Drama,Mystery,Thriller",6.3,174940
tt11214590,house of gucci,2021,"Biography,Crime,Drama",6.6,173935
tt6266538,vice,2018,"Biography,Comedy,Drama",7.2,173893
tt9421570,the guilty,2021,"Crime,Drama,Thriller",6.3,173074
tt13433802,a quiet place day one,2024,"Drama,Horror,Sci-Fi",6.3,172435
tt8097030,turning red,2022,"Adventure,Animation,Comedy",6.9,172075
tt16277242,society of the snow,2023,"Adventure,Biography,Drama",7.8,172060
tt3774114,snowden,2016,"Biography,Crime,Drama",7.3,171990
tt2049403,beetlejuice beetlejuice,2024,"Comedy,Fantasy,Horror",6.6,171574
tt12263384,extraction ii,2023,"Action,Crime,Thriller",7.0,171388
tt6294822,the post,2017,"Biography,Drama,History",7.2,171236
tt3521126,the disaster artist,2017,"Biography,Comedy,Drama",7.3,170964
tt5108870,morbius,2022,"Action,Adventure,Horror",5.1,170463
tt13238346,past lives,2023,"Drama,Romance",7.8,169706
tt26584495,companion,2025,"Sci-Fi,Thriller",6.9,169485
tt26047818,anyone but you,2023,"Comedy,Romance",6.1,169333
tt9620288,king richard,2021,"Biography,Drama,Sport",7.5,169253
tt6343314,creed ii,2018,"Action,Drama,Sport",7.1,168972
tt5140878,annabelle creation,2017,"Horror,Mystery,Thriller",6.5,168770
tt5022702,hush,2016,"Horror,Thriller",6.6,168443
tt23849204,12th fail,2023,"Biography,Drama",8.7,168442
tt10698680,kgf chapter 2,2022,"Action,Crime,Drama",8.2,168262
tt7395114,the devil all the time,2020,"Crime,Drama,Thriller",7.1,167848
tt7959026,the mule,2018,"Crime,Drama,Thriller",7.0,167721
tt7069210,the conjuring the devil made me do it,2021,"Horror,Mystery,Thriller",6.2,167414
